,Attacking,Biting,Eating snacks,Head banging,Sitting quietly,Throwing things,Using phone,Walking
Attacking,1456,0,0,0,0,2281,0,733
Biting,0,2475,2580,0,0,30,525,0
Eating snacks,0,0,12420,0,2250,60,0,0
Head banging,0,0,0,3765,0,0,0,45
Sitting quietly,0,0,11130,0,3180,0,0,0
Throwing things,150,0,0,0,0,4307,0,73
Using phone,0,0,9675,0,1125,30,0,150
Walking,0,0,0,0,0,0,0,14610
