,Attacking,Biting,Eating snacks,Head banging,Sitting quietly,Throwing things,Using phone,Walking
Attacking,4470,0,0,0,0,0,0,60
Biting,0,5465,130,0,0,45,0,0
Eating snacks,0,0,14100,0,150,0,0,0
Head banging,0,0,30,3870,0,0,0,30
Sitting quietly,0,0,12660,0,2250,0,0,0
Throwing things,0,0,0,0,0,3950,0,100
Using phone,0,0,9450,0,600,150,0,0
Walking,0,0,0,0,0,70,0,14240
