,Attacking,Biting,Eating snacks,Head banging,Sitting quietly,Throwing things,Using phone,Walking
Attacking,4200,0,0,60,0,0,0,90
Biting,0,7830,615,0,0,0,45,0
Eating snacks,225,1125,16020,0,0,165,1200,75
Head banging,30,0,45,5520,0,60,0,225
Sitting quietly,0,0,225,0,15360,0,8415,0
Throwing things,150,0,0,0,0,3420,0,120
Using phone,0,2850,3705,0,15,60,16800,0
Walking,375,0,0,0,0,60,0,19755
