held_out_subject,accuracy,macro_f1,abnormal_f1,abnormal_precision,abnormal_recall
1,0.577864476386037,0.5769135005752388,0.8772972645114333,0.9938161330218497,0.7852334419109663
2,0.7416842105263158,0.6877743575092052,0.8712011577424024,0.9242579324462641,0.823905109489051
3,0.7886728655959425,0.7891488205638202,0.8662041625371655,0.9265017667844523,0.8132754342431762
4,0.8168412348401323,0.8494867775098248,0.8763906056860321,0.8140068886337543,0.9491298527443106
5,0.673141186299081,0.7156277429851721,0.984241083771081,0.9877913429522752,0.9807162534435262
