,Attacking,Biting,Eating snacks,Head banging,Sitting quietly,Throwing things,Using phone,Walking
Attacking,4815,0,0,0,0,435,0,90
Biting,0,6015,1140,0,375,180,945,225
Eating snacks,375,0,7260,0,0,150,2835,0
Head banging,135,0,0,4350,1275,45,0,405
Sitting quietly,0,480,3195,0,22050,300,1350,75
Throwing things,600,0,0,0,0,3090,0,60
Using phone,0,0,300,0,7275,30,16515,0
Walking,0,30,0,150,0,45,0,19875
