,Attacking,Biting,Eating snacks,Head banging,Sitting quietly,Throwing things,Using phone,Walking
Attacking,2610,0,1425,1650,0,0,0,75
Biting,0,2760,0,0,30,0,0,0
Eating snacks,0,675,12600,0,1365,30,0,0
Head banging,0,0,0,3870,30,0,0,30
Sitting quietly,0,375,0,0,14325,0,0,0
Throwing things,375,0,1200,0,0,2280,0,105
Using phone,0,0,0,0,10980,0,0,0
Walking,0,0,0,30,0,0,30,14400
